created_at;Tweet;username
Sat Nov 04 10:22:05 +0000 2023;@gm_gm Tolong bisik ke Generasi Z itu, yang di poster itu bapaknya Presiden;andilancok
Sat Nov 04 10:13:32 +0000 2023;Saya melihat satu video: seorang anak muda perempuan, mungkin anggota generasi Z, berdiri di depan poster dgn wajah Kaesang, putra Presiden. Dgn nada marah ia sebut bgm Kaesang dgn sangat cepat jadi Ketua Umum PSI dan poster mentereng yg merayakan dia dipasang di sepanjang jalan…;gm_gm
Sat Nov 04 10:03:29 +0000 2023;Pentingnya Penanaman Pendidikan Moral Bagi Generasi Z https://t.co/F1nYxvmx4D;bingkainasional
Sat Nov 04 09:43:42 +0000 2023;@TeddGus @kartarahardja @prabowo @gibran_tweet sabar bang kalau mereka gagal jegal gibran di MKMK nanti denny dkk dan hasto bakalan bawa ini isu ke forum PBB sampai Gibran gagal jadi cawpres prabowo  dipikir denny dkk dan hasto mereka keren g sadar di generasi Z malah di jadikan meme partainya takut kalah jegal musuh nyalon;tekarok007
Sat Nov 04 09:30:55 +0000 2023;Ga perlu mewah-mewah kan, gaya Mahfud cocok buat generasi Z yang suka simplicity @Sennjee  Mahfud Sederhana https://t.co/qe3hH8HCd0;nenengsumi_ati
Sat Nov 04 09:30:41 +0000 2023;Kayaknya Mahfud cocok banget buat generasi Z yang cinta kesederhanaan dan keautentikan, semoga bisa terusin kerja baik Presiden Jokowi @axvfly  Mahfud Sederhana https://t.co/9FP2LLT0o5;ibnuputra323530
Sat Nov 04 09:25:56 +0000 2023;Humble living high thinking, gaya Mahfud cocok buat generasi Z yang pengen pemimpin relateable @sparksevng  Mahfud Sederhana https://t.co/tw5FgQFRZL;agungjaka474981
Sat Nov 04 09:23:31 +0000 2023;Gaya hidup Mahfud bisa inspire generasi Z banget, moga bawa angin fresh ke Istana nanti @jensesniellz  Mahfud Sederhana https://t.co/rsCH7ug18n;maharrani783352
Sat Nov 04 09:21:13 +0000 2023;Support penuh buat Mahfud yg gak neko-neko, harapan baru buat generasi Z yg mau lihat Indonesia makin maju setelah era Jokowi @ilmoontea  Mahfud Sederhana https://t.co/FILru1knBg;pujiantooo37552
Sat Nov 04 09:21:08 +0000 2023;Duh, rumahnya Mahfud humble abis, tauladan buat generasi Z yang mau Indonesia maju terus @haechanbank  Mahfud Sederhana https://t.co/OtoqvW6j9L;linayulist
Sat Nov 04 09:21:07 +0000 2023;Generasi Z butuh role model yang real n humble, Mahfud dg rumah sederhananya itu pas banget untuk melanjutkan estafet dari Presiden Jokowi @onyourhanaa  Mahfud Sederhana https://t.co/cYfDOiVkdw;putrayoga161158
Sat Nov 04 09:19:11 +0000 2023;Pak Jokowi dan Mahfud sama-sama paham, generasi Z pengen pemimpin yang bisa di-idolakan @sideoshine  Mahfud Sederhana https://t.co/eeNsIa1nJf;SNuriawati
Sat Nov 04 09:14:19 +0000 2023;Gak glamor tapi berkarakter, itulah Mahfud, bisa jadi pilihan generasi Z yang smart @dlwpshh423  Mahfud Sederhana https://t.co/MIwYVj7KEn;MuflihaTesa1
Sat Nov 04 09:11:59 +0000 2023;Kita generasi Z suka yang realistis dan humble, Mahfud dan Pak Jokowi pas banget lah @markwinapo_  Mahfud Sederhana https://t.co/Y09AFSxZQ6;sitirahmwt
Sat Nov 04 08:44:15 +0000 2023;Generasi Milenial dan Gen Z wajar lah muak… Karena sang bapak telah memanipulasi pikiran anak2 muda untuk Kepentingn Keluarga/Pribadi…;BangIssan
Sat Nov 04 08:32:16 +0000 2023;Hai ka mintol isi penelitian ku ya 🙏 tentang  Pengembangan Model Penerimaan Teknologi AI di Proses Rekrutmen 1. Generasi millenial/ Gen Z 2. sudah bekerja / belum bekerja 4. Sedang atau dalam proses melamar pekerjaan 5. Domisili Jabodetabek dan Bandung https://t.co/59Wrj06NqR;Srilesmana67
Sat Nov 04 08:25:17 +0000 2023;Dan ini yg ngebedain saya dibanding generasi milenial dan generasi z sekarang. Sekarang who sudah saya jawab.;lalalilipopo
Sat Nov 04 08:17:46 +0000 2023;generasi Z udah standby;Yusufwantoooo
Sat Nov 04 07:55:35 +0000 2023;Elektabilitas Prabowo-Gibran berada di peringkat pertama, hal ini dikarenakan mayoritas generasi Z dan milenial memilihnya #GibranCawapres  mc lee Gadis Kretek AyahWoMasgi AdemDihati DipilihKarena CaranyaSejuk hatinyaman milihnyapkbowo https://t.co/JhVivY1zqZ;Natasyazia_
Sat Nov 04 07:50:38 +0000 2023;iPhone 15 dan Generasi Z, Pasangan Sempurna dalam Pembuatan Konten. https://t.co/KIY4KJPgaY;Cariakudotcom
Sat Nov 04 07:32:27 +0000 2023;Sekali lagi, generasi milenial, generasi Z dan jangan lupa, santri. Untuk itu mohon Pak Prabowo, saya ingin membocorkan beberapa program unggulan.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran;muhammad_kummul
Sat Nov 04 07:31:14 +0000 2023;@Fahrihamzah Penculik generasi milenial dan gen Z... Masak bersatu bersama penculik😂 Gile lu ndro ‼️ https://t.co/2RYRfn6yq7;Bakmukmin
Sat Nov 04 07:25:12 +0000 2023;Sekali lagi, generasi milenial, generasi Z dan jangan lupa, santri. Untuk itu mohon Pak Prabowo, saya ingin membocorkan beberapa program unggulan.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran;srisusilawati52
Sat Nov 04 07:22:10 +0000 2023;Karnaval Budaya HUT ke-416 Kota Makassar Libatkan Ribuan Generasi Z dan Milenial: https://t.co/jl6nNtLkwM, Makassar – Karnaval Budaya jadi puncak perayaan Hari Ulang Tahun (HUT) Kota Makassar ke-416 Baca Selengkapnya   The post Karnaval Budaya HUT ke-416… https://t.co/oZZrew7iyo https://t.co/5JeSClkoDj;simpulrakyat
Sat Nov 04 07:21:35 +0000 2023;Generasi milenial. Generasi Z. Dan jangan lupa para santri. Pasti kita dukung penuh.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran;srisusilawati52
Sat Nov 04 07:21:28 +0000 2023;"Generasi milenial. Generasi Z. Dan jangan lupa para santri. Pasti kita dukung penuh.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran""";srisusilawati52
Sat Nov 04 07:20:03 +0000 2023;++ depan untuk mendepani zionis.  6- Rata-rata, generasi muda di Gaza hidup serba sederhana. Mereka jauh dari hedonism dan kerosakan sosial.  7- Mereka berebut untuk jadi pejuang atau sambung masters/PhD jadi pakar tertentu.  Zainur Rashid Z  #TaufanAlAqsa #IsraelCuak;Hudismail2
Sat Nov 04 07:17:28 +0000 2023;Sekali lagi, generasi milenial, generasi Z dan jangan lupa, santri. Untuk itu mohon Pak Prabowo, saya ingin membocorkan beberapa program unggulan.  #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran;topan_casper
Sat Nov 04 07:09:07 +0000 2023;Sekali lagi, generasi milenial, generasi Z dan jangan lupa, santri. Untuk itu mohon Pak Prabowo, saya ingin membocorkan beberapa program unggulan.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran;LubisDarlina
Sat Nov 04 07:04:46 +0000 2023;Generasi milenial. Generasi Z. Dan jangan lupa para santri. Pasti kita dukung penuh.   #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran;LubisDarlina
Sat Nov 04 07:04:40 +0000 2023;"Generasi milenial. Generasi Z. Dan jangan lupa para santri. Pasti kita dukung penuh.  #MenataMasaDepan #BersamaPrabowoGibran #PrabowoGemoy Prabowo Gibran""";LubisDarlina
Sat Nov 04 06:58:35 +0000 2023;generasi Z siap ngeramein;IrmaSapiitri
Sat Nov 04 06:46:29 +0000 2023;@democrazymedia Contoh generasi Z, yang ingin serba instan Cenderung egosentris dan individualis, cenderung ingin serba instan, tidak sabaran, dan tidak menghargai proses.;asri_hamdani
Sat Nov 04 06:39:48 +0000 2023;@Official_SAGA_ Generasi muda seperti milenials dan gen Z sangat cocok dengan visi misi mereka;ramzi_alhak
Sat Nov 04 06:36:36 +0000 2023;generasi Y dan Z, sama-sama support;jojoppiaaannnn
Sat Nov 04 06:30:30 +0000 2023;generasi Z siap streaming;AliyahJula2
Sat Nov 04 06:28:20 +0000 2023;generasi Z siap mendengar;teguhgnwn123
Sat Nov 04 06:27:49 +0000 2023;generasi Z siap ngeramein;santilina13
Sat Nov 04 06:25:06 +0000 2023;generasi Z siap ngeramein;AntoAn21690
Sat Nov 04 06:23:13 +0000 2023;generasi Z siap ngeramein;HendraaNugroho
Sat Nov 04 06:22:01 +0000 2023;generasi Z aja ngerti, kretek tuh bukan cuma rokok, tp juga film;DesiFaniaa
Sat Nov 04 06:16:09 +0000 2023;generasi Z siap support;gandhiprabas_
Sat Nov 04 06:11:48 +0000 2023;ceritanya kekinian banget, generasi Z pasti relate;akmalandrn
Sat Nov 04 06:09:27 +0000 2023;generasi Z siap ngechant;okta_susi_15
Sat Nov 04 04:51:05 +0000 2023;@yunartowijaya arus deras? yg kritik dan protes cm buzzer telunjuk hasto doang kali wwk akar rumput terutama generasi Z dan pemilih pemula suka punya wapres anak muda banget dan syarat nyapres ga harus jd tua dolo umur 40 thn;tekarok007
Sat Nov 04 04:42:38 +0000 2023;Percaya Potensi Generasi Muda, Prabowo-Gibran Banjir Dukungan Milenial dan Gen Z @gibran_tweet #capres #cawapres  https://t.co/SxVS62bwbx;RADARSOLO_
Sat Nov 04 04:37:57 +0000 2023;@kegblgnunfaedh Gen Z.... Generasi zionis...😀😀;bhoches
Sat Nov 04 04:35:31 +0000 2023;generasi Z approved nih, sarapan kekinian banget;BastianTiito
Sat Nov 04 04:11:39 +0000 2023;senang rasanya melihat pak Anies Inspiratif banget dan sebagai generasi z itu bangga banget melihat pemimpin kayak pak Anies #AniesInspiratif;mingisoang
Sat Nov 04 04:08:53 +0000 2023;kalo ada Gen Z dan generasi millennial gampang banget resign/ pindah kerja dan karir. Menurut gue sah-sah aja. Why not?;anf_alifa
Sat Nov 04 03:53:12 +0000 2023;@dekade_08 generasi milenial dan Z siap dukung #prabowosubianto;7oda_Rakha
Sat Nov 04 03:05:22 +0000 2023;Saya melihat dunia dari kaca mata hitam. Kecanggihan menggila ini membuatkan jiwa muda semakin kelam.  Saya percaya adik- adik generasi Z sangatlah mencabar hidupnya. Kalau dulu temannya TV, kini telefon bimbit diusung ke sana sini.  Lahirnya mereka di zaman digital dan media… https://t.co/6Rc67PhluL;AzriWalter
Sat Nov 04 02:56:07 +0000 2023;Mahfud MD menjadi bakal calon wakil presiden (Bacawapres) yang paling banyak disuka oleh generasi Z atau mereka yang akan menjadi pemilih pemula pada Pilpres 2024. Hal ini terpotret dalam hasil survei yang dirilis SMRC.  https://t.co/VRenWubDje https://t.co/LOmOOgTZLg;IncessKeshya
Sat Nov 04 02:50:28 +0000 2023;#JANCUK JANgan CUrangi Konstitusi  Gen Z is generasi tak tercela, jgn pilih Capres tercela, pecatan tentara. Jangan nodai harkat martabat tunas bangsa yg mulia. Tetaplah cerdas dan tetaplah semangat menggapai kejayaan Indonesia.  #GaspolGanjar  #rakyatpilihganjar  #paktelur;wayangkayangan
Sat Nov 04 02:32:11 +0000 2023;@kegblgnunfaedh Gen z, generasi paling tolol;sahabattuhan666
Sat Nov 04 02:22:19 +0000 2023;tanggal 3-5 November 2023. Acara ini diharapkan dapat menginspirasi generasi muda Palopo untuk mengenal dan menghargai perjuangan para pahlawan. Selamat datang dan semoga sukses! 🇮 🇩 ✨;ZFadurahma8
Sat Nov 04 02:15:20 +0000 2023;Topik bahasan Gen Z dengan dinamika pekerjaan masih selalu anget, keinginan-keinginan situasi kerja yang diharapakan tiap generasi sebetulnya sama.  Tetapi memang tiap perusahaan/lembaga/insitusi punya karakteristik yg beda, jd penerimaan dari tiap gap generation juga beda.;ImronHusna
Sat Nov 04 02:02:00 +0000 2023;Pemandangan menarik yang selalu muncul setiap Ganjar Pranowo hadir di acara yang digelar anak muda, terlebih Generasi Z (Gen Z), adalah sambutan meriah.  #SahabatGanjar #GanjarPranowo  #GanjarPresiden #GanjarUntukSemua #GanjarMahfud2024 https://t.co/Bdr4nvETia;S1ny0Alit
Sat Nov 04 01:05:29 +0000 2023;"SEMINAR NASIONAL PENDIDIKAN  Assalamu'alaikum wr. wb. Bapak/Ibu  Salam Merdeka Belajar Bapak/Ibu Pemerhati Pendidikan  Jangan lewatkan Seminar Nasional Pendidikan dengan tema *Pendidikan Karakter Generasi Z pada Era Transformasi Digital'* kolaborasi Ma'had Islam Pekalongan,""";radio_kotabatik
Sat Nov 04 00:41:28 +0000 2023;@Opposite6888 Gen Z adalah generasi Mandiri dan independent.... Tau masa lalu seseorang, tetapi dewasa melihat kualitas seseorang saat ini dan nanti;JW_Lee0606_1969
Fri Nov 03 23:43:58 +0000 2023;Ada banyak cara menolong resistance movement palestina &amp gaza in specific. Alasan saya membuat thread gerakan Gen Z yg merupakan generasi Sagittarius (gategaan, penolong kaum lemah, rebel).Ways they can inspire you untuk lebih memasukkan unsur pop culture dalam bersuara u palestin;dhiendaln
Fri Nov 03 22:43:46 +0000 2023;@bengkeldodo @BANGSAygSUJUD @P4P4B0W0_2024 @Ndons_Back @mimih6mei @bentangnegeri @AndreasSolusi @genx36545403 @AlmaghribiS @Kenikir27 @daengmatarang Logis banget, satu alasan yg tak terpikirkan : memangkas satu generasi untuk memunculkan generasi Z yang masih bersih dan murni;Minietweets_
Fri Nov 03 22:32:24 +0000 2023;Jujur ini terjadi ke kalangan menengah ke bawah juga. Generasi milenial dan Z mendominasi kontrakan, bahkan di fb aja dikit2 kontrakan dan kos kosan abis 🤣🤣🤣🤣;jr205newlivery
Fri Nov 03 22:29:54 +0000 2023;Nah, dgn pendataan aset bumn yg terjadi di era reformasi , udah gitu sktr 2010an awal ngetren beautifikasi kota yg dipelopori bu risma + pak RK  Tiba-tiba generasi milenial sama Z (anehnya) lebih milih nyewa dlm jangka waktu panjang drpd jadi squatter spt gen boomer/X.;jr205newlivery
Fri Nov 03 22:24:21 +0000 2023;"~ kok ya bisa malu, mana kamar sebelahan. Ini kejadian krn generasi Z ini generasi yg udah settle"" dibidang teknologi dan informasi. Jadi krn itu lebih sering interaksinya di online drpd di RL.""";dikusssss
Fri Nov 03 21:49:21 +0000 2023;Gibran itu TIDAK BISA DINILAI MEWAKILI GENERASI Z. Sbb mrk justr muak dg cara2nya jd bacawapres dg bantuan paman. Generasi Z menolak politik Sandera dan Politik Sayang Anak! Gen Z tolak Politik Instan!;TambaAti_
Fri Nov 03 21:39:36 +0000 2023;@dekade_08 Ade2 gen z, milenial kalian harus baca sejarah jangan hanya menyongsong harapan palsu, yg gemoy itu dulu pernah menculik aktivis2 dan penyebab kerusuhan 98, dan banyak generasi seumuran kalian yg jadi korbannya bukan cuma 10 atau 20 tapi ratusan korban.;Per98943129Rudi
Fri Nov 03 18:53:34 +0000 2023;@dsmuhamad_ penyakit Generasi Gen Z Realita kerja  , gk kuat OFF !!;nusa_tegar
Fri Nov 03 18:14:42 +0000 2023;Dengan maju Gibran sebagai Cawapres, membuat generasi milenial dan Z tertarik terlibat dalam dunia Politik.  #GibranCawapres  #PrabowoGibran2024  #fypシ https://t.co/r9Qxb3l6q4;Weni_Jesi
Fri Nov 03 17:18:19 +0000 2023;AS Hikam Ungkap Tiga Alasan Generasi Z Lebih Mendukung AMIN Dibanding Gibran Sekalipun.  Isu perubahan sudah menjadi ikon pasangan AMIN sehingga mampu menarik perhatian generasi Z. #kbanews #aminkanindonesia  https://t.co/M4PW8ur5cX @BosPurwa @Yurissa_Samosir @RikeSants @bos_sir;Simanjunta9Nico
Fri Nov 03 16:10:51 +0000 2023;Aku senang generasi muda maju dlm berpolitik agar cita cita pendiri bangsa Indonesia adil dan makmur tapi harus mengikuti aturan jgn ditabrak,jadi yg tercinta para generasi muda gen Z dan milenial berpikirlah jernih,ini hanya himbauan👇 https://t.co/P5V3ASLcxI;ota_bibar2
Fri Nov 03 13:25:08 +0000 2023;@eradotid @mazzini_gsp Generasi z itu z nya 'zonk'.;dikadeku
Fri Nov 03 13:15:51 +0000 2023;Dibutuhkan responden kuesioner penelitian dengan kriteria: 1. Kelahiran tahun 1997-2012 (generasi Z)  2. Karyawan (baik tetap/kontrak/magang)  3. Diutamakan domisili Jakarta  Yang berkenan ataupun yang mau barter boleh rep/dm ya🙏;lezgedidd
Fri Nov 03 13:01:02 +0000 2023;@NarasiNewsroom Generasi Z juga perlu Tahu, Ada Capres pelanggar HAM;IswadiPerkasa
Fri Nov 03 12:46:35 +0000 2023;gaada perasaan, minimal logika sesuai umur  #GenerasiZ;Laurentina35893
Fri Nov 03 12:46:12 +0000 2023;sebab Generasi Z cenderung kritis terhadap informasi. Kemampuan mereka dalam menghargai perbedaan seperti agama, budaya, gender, dan status sosial sangat tinggi. Oleh karena itu, alih-alih memanfaatkan identitas tradisional, partai politik mulai menggaet pemilih dengan https://t.co/SVs6InkKsl;BEM_Unsoed
Fri Nov 03 12:38:37 +0000 2023;https://t.co/A1H5pPRS9Y;sisahari_
Fri Nov 03 12:25:25 +0000 2023;Keberhasilan survei ini mencerminkan popularitas yang tinggi dari visi dan program kerja Pak Mahfud MD di mata generasi Z. dukung Ganjar Mahfud  https://t.co/gSUkixPHqE;Lusi42062050
